SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,latitude,longitude,IS SHORT SALE
Past Sale,Single Family Residential,870 Robb Rd,PALO ALTO,CA,94306,3595000,4,2.5,PALO ALTO,2111,43564,1964,2,Garage,,Sold,,,,,3595000,42286,4500000,http://www.redfin.com/CA/Palo-Alto/870-Robb-Rd-94306/home/1228341,MLSListings Inc. (MLSLI),ML81515847,Campi Properties,N,Y,37.392415,-122.134496,0
Past Sale,Condo/Coop,607 Arcadia Ter #102,SUNNYVALE,CA,94085,499000,1,1,SUNNYVALE,867,1161,1994,1,Garage,,Sold,,,,,499000,42237,550000,http://www.redfin.com/CA/Sunnyvale/607-Arcadia-Ter-94085/unit-102/home/1255343,MLSListings Inc. (MLSLI),ML81471036,Intero Real Estate Services,N,Y,37.392422,-122.013051,0
Past Sale,Condo/Coop,210 View St,Mountain View,CA,94041,,2,2.5,94041,1374,,2008,,,,,,,,,,42111,1450000,http://www.redfin.com/CA/Mountain-View/210-View-St-94041/home/17288340,,,,N,Y,37.392432,-122.077262,
Past Sale,Condo/Coop,230 View St,MOUNTAIN VIEW,CA,94041,1199000,2,2.5,MOUNTAIN VIEW,1374,1160,2008,2,Garage,,Sold,,,,,1199000,42068,1517000,http://www.redfin.com/CA/Mountain-View/230-View-St-94041/home/39748247,MLSListings Inc. (MLSLI),ML81450248,Sereno Group,N,Y,37.392432,-122.077262,0
Past Sale,Single Family Residential,698 Carolina Ave,Sunnyvale,CA,94085,,3,3,94085,2568,,1953,,,,,,,,,,42073,1125000,http://www.redfin.com/CA/Sunnyvale/698-Carolina-Ave-94085/home/656241,,,,N,Y,37.392437,-122.016642,
Past Sale,Townhouse,371 Snyder,MOUNTAIN VIEW,CA,94043,1128000,3,2.5,MOUNTAIN VIEW,1625,2150,1998,2,Garage,,Sold,,,,,1128000,42240,1402000,http://www.redfin.com/CA/Mountain-View/371-Snyder-Ln-94043/home/1179204,MLSListings Inc. (MLSLI),ML81486101,Alain Pinel Realtors,N,Y,37.392485,-122.059165,0
Past Sale,Townhouse,350 Bryant St,MOUNTAIN VIEW,CA,94041,1200000,3,2.5,MOUNTAIN VIEW,1661,582,2002,2,Garage,,Sold,,,,,1200000,42165,1550000,http://www.redfin.com/CA/Mountain-View/350-Bryant-St-94041/home/1289863,MLSListings Inc. (MLSLI),ML81469744,Coldwell Banker,N,Y,37.392496,-122.081665,0
Past Sale,Single Family Residential,245 Pine Ln,LOS ALTOS,CA,94022,2688000,3,3,LOS ALTOS,2208,13569,1957,1,Garage,,Sold,,,,,2688000,42265,3215000,http://www.redfin.com/CA/Los-Altos/245-Pine-Ln-94022/home/578636,MLSListings Inc. (MLSLI),ML81501655,Keller Williams Palo Alto,N,Y,37.392501,-122.119941,0
Past Sale,Single Family Residential,1669 Latham St,MOUNTAIN VIEW,CA,94041,1098000,2,2,MOUNTAIN VIEW,980,5450,1947,1,Garage,,Sold,,,,,1098000,42201,1325000,http://www.redfin.com/CA/Mountain-View/1669-Latham-St-94041/home/1246109,MLSListings Inc. (MLSLI),ML81471761,HomeSmart Platinum Living,N,Y,37.392512,-122.092142,0
Past Sale,Single Family Residential,301 W Eaglewood Ave,SUNNYVALE,CA,94085,768000,3,1.5,SUNNYVALE,1132,4792,1952,1,Garage,,Sold,,,,,768000,42263,815000,http://www.redfin.com/CA/Sunnyvale/301-W-Eaglewood-Ave-94085/home/658482,MLSListings Inc. (MLSLI),ML81497749,Century 21 M&M and Associates,N,Y,37.392512,-122.02788,0
Past Sale,Single Family Residential,820 Santa Paula Ave,SUNNYVALE,CA,94085,799999,3,1.5,SUNNYVALE,1160,4957,1954,2,Garage,,Sold,,,,42263,799999,42368,890000,http://www.redfin.com/CA/Sunnyvale/820-Santa-Paula-Ave-94085/home/1789038,MLSListings Inc. (MLSLI),ML81483686,"Joshua Michaelian, Broker",N,Y,37.392549,-122.005981,0
Past Sale,Condo/Coop,613 Arcadia Ter #302,Sunnyvale,CA,94085,680000,2,2,Santa Clara County,1160,,1995,1,Garage,,Sold,,,,,,42369,690000,http://www.redfin.com/CA/Sunnyvale/613-Arcadia-Ter-94085/unit-302/home/1773058,Bay Area Real Estate Information Services (BAREIS),21527437,NewVision Realty Group,N,Y,37.392565,-122.01204,0
Past Sale,Condo/Coop,601 Arcadia Ter #101,SUNNYVALE,CA,94085,649000,2,2,SUNNYVALE,1058,1611,1994,1,Garage,,Sold,,,,,619000,42201,675000,http://www.redfin.com/CA/Sunnyvale/601-Arcadia-Ter-94085/unit-101/home/897642,MLSListings Inc. (MLSLI),ML81466938,Alain Pinel Realtors,N,Y,37.392583,-122.013484,0
Past Sale,Condo/Coop,938 Clark Ave #48,MOUNTAIN VIEW,CA,94040,799000,2,2,MOUNTAIN VIEW,1069,871,1978,1,Garage,,Sold,,,,,799000,42388,925000,http://www.redfin.com/CA/Mountain-View/938-Clark-Ave-94040/unit-48/home/1748207,MLSListings Inc. (MLSLI),ML81546058,Sereno Group,N,Y,37.3926924,-122.0999422,0
Past Sale,Condo/Coop,448 Costa Mesa Ter Unit D,SUNNYVALE,CA,94085,570000,2,1,SUNNYVALE,880,902,1985,2,Garage,,Sold,,,,,570000,42333,620000,http://www.redfin.com/CA/Sunnyvale/448-Costa-Mesa-Ter-94085/unit-D/home/1653803,MLSListings Inc. (MLSLI),ML81519252,Keller Williams Palo Alto,N,Y,37.392697,-122.045031,0
Past Sale,Condo/Coop,755 N Fair Oaks Ave Apt 4,Sunnyvale,CA,94085,,3,2,94085,1134,,1972,,,,,,,,,,42152,642500,http://www.redfin.com/CA/Sunnyvale/755-N-Fair-Oaks-Ave-94085/unit-4/home/655608,,,,N,Y,37.3927229,-122.014284,
Past Sale,Single Family Residential,1793 Woodhaven Pl,Mountain View,CA,94041,,4,2.5,94041,2183,,1999,,,,,,,,,,42089,1813000,http://www.redfin.com/CA/Mountain-View/1793-Woodhaven-Pl-94041/home/616838,,,,N,Y,37.39275,-122.094447,
Past Sale,Single Family Residential,935 Blazingwood Dr,SUNNYVALE,CA,94089,848888,4,3,SUNNYVALE,1642,7281,1959,2,Garage,,Sold,,,,,739000,42346,843888,http://www.redfin.com/CA/Sunnyvale/935-Blazingwood-Dr-94089/home/1510195,MLSListings Inc. (MLSLI),ML81501362,Thurro Realty,N,Y,37.392796,-121.994761,0
Past Sale,Single Family Residential,836 SAN PIER Ct,SUNNYVALE,CA,94085,749999,3,3,SUNNYVALE,1668,6000,1955,1,Garage,,Sold,,,,42123,799000,42134,740000,http://www.redfin.com/CA/Sunnyvale/836-San-Pier-Ct-94085/home/1440124,MLSListings Inc. (MLSLI),ML81457933,Intero Real Estate Services,N,Y,37.392829,-122.003294,0
Past Sale,Condo/Coop,611 Arcadia Ter #104,SUNNYVALE,CA,94085,695000,2,2,SUNNYVALE,1174,1611,1994,1,Garage,,Sold,,,,,695000,42277,730000,http://www.redfin.com/CA/Sunnyvale/611-Arcadia-Ter-94085/unit-104/home/1224098,MLSListings Inc. (MLSLI),ML81500461,"Golden Realty & Investments, Inc",N,Y,37.3929144,-122.0125266,0
Past Sale,Condo/Coop,611 Arcadia Ter #103,Sunnyvale,CA,94085,499999,1,1,Sunnyvale,867,1161,1994,1,Garage,,Sold,,,,,499000,42250,499999,http://www.redfin.com/CA/Sunnyvale/611-Arcadia-Ter-94085/unit-103/home/1640952,East Bay Regional Data (EBRD),40691874,Realty ONE Group BMC Assoc.,N,Y,37.3929144,-122.0125266,0
Past Sale,Condo/Coop,761 N Fair Oaks Ave Apt 6,Sunnyvale,CA,94085,,3,2,94085,1134,,1972,,,,,,,,,,42066,555000,http://www.redfin.com/CA/Sunnyvale/761-N-Fair-Oaks-Ave-94085/unit-6/home/1212906,,,,N,Y,37.392922,-122.015004,
Past Sale,Single Family Residential,832 San Mateo Ct,SUNNYVALE,CA,94085,799000,3,1,SUNNYVALE,1442,4966,1956,1,Garage,,Sold,,,,,799000,42293,900000,http://www.redfin.com/CA/Sunnyvale/832-San-Mateo-Ct-94085/home/1669908,MLSListings Inc. (MLSLI),ML81512207,KW Bay Area Estates,N,Y,37.392933,-122.007664,0
Past Sale,Multi-Family (5+ Unit),471 Palo Alto Ave,Mountain View,CA,94041,,,,94041,1368,,1927,,,,,,,,,,42067,1227000,http://www.redfin.com/CA/Mountain-View/471-Palo-Alto-Ave-94041/home/742183,,,,N,Y,37.392963,-122.087511,
